node_id,alpha,beta,mean_activation,train_loss,val_recon,val_kld
0,0.225,0.225,0.6039999723434448,76.47235443115234,57.342678451538085,21.813643836975096
1,0.675,0.225,0.7599999904632568,75.57179214477539,56.604500961303714,21.50981903076172
2,1.125,0.225,0.8349999785423279,74.89646423339843,55.486565017700194,21.74796028137207
3,1.575,0.225,0.875,74.44167556762696,55.70436248779297,21.238181495666502
4,2.025,0.225,0.9009999632835388,73.09763442993165,53.96178855895996,21.482809829711915
5,2.475,0.225,0.9179999828338624,73.32731384277344,54.52100563049317,21.27514324188233
6,2.925,0.225,0.9299999475479126,72.84879211425782,53.88427848815918,21.434901237487797
7,3.375,0.225,0.9389999508857728,72.76286758422852,53.59899291992188,21.37821865081787
8,3.825,0.225,0.9459999799728394,73.01468658447266,54.02310256958008,21.54684352874756
9,4.275,0.225,0.9509999752044678,72.58234008789063,53.41385040283203,21.669268798828124
10,4.725,0.225,0.9559999704360962,72.34571563720704,53.16115455627441,21.80821361541748
11,5.175,0.225,0.9589999914169312,72.44406234741211,53.08331031799317,21.44838924407959
12,5.625,0.225,0.9619999527931212,72.56032806396485,53.44837532043457,21.87507286071777
13,6.075,0.225,0.9649999737739564,71.86564254760742,51.97857055664063,21.485261917114254
14,6.525,0.225,0.9669999480247498,72.1169303894043,52.904235458374025,21.57178153991699
15,6.975,0.225,0.9699999690055848,72.01731170654297,52.16465530395508,21.59634780883789
16,7.425,0.225,0.972000002861023,71.96459930419923,52.60859603881836,21.663334465026857
17,7.875,0.225,0.9729999899864196,72.05448867797851,52.24082069396973,21.860329818725585
18,8.325,0.225,0.9739999771118164,71.73514266967773,52.45390090942383,21.53853302001953
19,8.775,0.225,0.97599995136261,71.75232513427734,52.1042911529541,21.820975303649902
20,0.225,0.675,0.3470000028610229,76.19638366699219,58.18884696960449,21.30745162963867
21,0.675,0.675,0.5149999856948853,76.72594924926757,57.58376617431641,21.91347007751465
22,1.125,0.675,0.6269999742507935,76.11605102539062,56.91955223083496,21.70214023590088
23,1.575,0.675,0.699999988079071,75.65236099243164,56.54180603027344,21.506079483032227
24,2.025,0.675,0.75,75.87722640991211,57.12089614868164,21.56612548828125
25,2.475,0.675,0.7859999537467957,75.45343124389649,56.27148666381836,21.820283699035645
26,2.925,0.675,0.812999963760376,74.99050354003906,55.952074432373045,21.709498405456543
27,3.375,0.675,0.8339999914169312,74.81357788085937,55.67637634277344,21.632461738586425
28,3.825,0.675,0.8509999513626099,74.43473739624024,55.24935302734375,21.08278560638428
29,4.275,0.675,0.8639999628067017,74.39466461181641,55.25897827148437,21.408955001831053
