node_id,alpha,beta,mean_activation,train_loss,val_recon,val_kld
0,0.225,0.225,0.6039999723434448,69.9854817199707,51.544136428833006,21.37279281616211
1,0.675,0.225,0.75968998670578,70.74957473754883,51.98525810241699,21.105588722229005
2,1.125,0.225,0.8346099853515625,70.76829666137695,51.26535339355469,21.35603370666504
3,1.575,0.225,0.8748300075531006,71.08930068969727,51.307373428344725,21.669666862487794
4,2.025,0.225,0.9008100032806396,71.40286727905273,52.15626678466797,21.134058570861814
5,2.475,0.225,0.9177199602127076,71.05360641479493,51.25162010192871,21.52244167327881
6,2.925,0.225,0.929889976978302,71.02264511108399,51.3536849975586,21.389801597595216
7,3.375,0.225,0.938639998435974,71.45709350585938,51.615444564819335,21.61060161590576
8,3.825,0.225,0.9463399648666382,71.10372268676758,51.27720832824707,21.52895450592041
9,4.275,0.225,0.9512999653816224,71.08830200195312,51.30737762451172,21.486686134338377
10,4.725,0.225,0.9556599855422974,71.56968490600586,51.947127151489255,21.41055564880371
11,5.175,0.225,0.9592299461364746,71.36221496582031,51.514102172851565,21.50739459991455
12,5.625,0.225,0.962149977684021,70.88300216674804,50.95399932861328,21.61002349853516
13,6.075,0.225,0.965399980545044,71.16458694458008,51.32003479003906,21.588127517700197
14,6.525,0.225,0.9671899676322936,71.28202743530274,51.554267501831056,21.3672212600708
15,6.975,0.225,0.969789981842041,70.99759460449219,51.04977111816406,21.5920503616333
16,7.425,0.225,0.9715499877929688,71.04442855834961,51.22180519104004,21.41722183227539
17,7.875,0.225,0.972629964351654,70.91686416625977,50.782932662963866,21.709385681152344
18,8.325,0.225,0.9743199944496156,71.05248641967773,51.09025077819824,21.541113662719727
19,8.775,0.225,0.9755499958992004,70.87526153564453,50.65603408813477,21.73386936187744
20,0.225,0.675,0.3465400040149688,69.34523345947265,52.17504196166992,21.2717378616333
21,0.675,0.675,0.5151799917221069,70.5344546508789,52.03102416992188,21.55983257293701
22,1.125,0.675,0.6274600028991699,71.14438598632813,52.622833251953125,21.20180320739746
23,1.575,0.675,0.7002099752426147,71.55241668701171,52.67608985900879,21.162661743164065
24,2.025,0.675,0.7498799562454224,71.8880305480957,53.41810646057129,20.58874225616455
25,2.475,0.675,0.7858499884605408,71.66699264526368,52.69656410217285,21.13124446868897
26,2.925,0.675,0.8133299946784973,71.95963409423828,52.96106033325195,20.989456367492675
27,3.375,0.675,0.8340299725532532,71.78302780151367,52.43477363586426,21.258675956726076
28,3.825,0.675,0.8512399792671204,71.66597045898438,52.435815048217776,21.128286170959477
29,4.275,0.675,0.8642999529838562,71.97106643676757,52.89990615844727,21.21935558319092
30,4.725,0.675,0.875789999961853,72.0556105041504,52.976910781860354,20.98142490386963
31,5.175,0.675,0.8847299814224243,71.63090713500976,52.53155288696289,21.13983325958252
32,5.625,0.675,0.8937699794769287,71.48001846313477,52.04990539550781,21.19807548522949
33,6.075,0.675,0.9008899927139282,71.86839752197265,52.98404388427734,21.198789978027342
34,6.525,0.675,0.9074899554252625,71.45155899047852,51.55071868896484,21.57438011169433
35,6.975,0.675,0.9124999642372132,71.61329895019531,51.99594688415527,21.37270030975342
36,7.425,0.675,0.9174799919128418,71.50981735229492,51.85300521850586,21.39743156433105
37,7.875,0.675,0.9221499562263488,71.35753051757813,51.89162902832031,21.128561401367183
38,8.325,0.675,0.9258899688720704,71.51357482910156,51.99788475036621,21.22977313995361
39,8.775,0.675,0.9293699860572816,71.62623489379882,52.260062789916994,21.370595169067386
40,0.225,1.125,0.2515099942684173,69.11246063232421,52.78404998779297,21.510610389709477
41,0.675,1.125,0.3920699954032898,70.42575119018555,53.08752937316895,21.238355827331542
42,1.125,1.125,0.5034999847412109,71.26614974975585,53.611035919189455,20.78968067169189
43,1.575,1.125,0.5849499702453613,71.56544097900391,53.010589599609375,21.374614906311034
44,2.025,1.125,0.6435799598693848,71.58622741699219,52.81388854980469,21.274733352661134
45,2.475,1.125,0.688569962978363,71.78921859741212,53.08548088073731,20.98679141998291
46,2.925,1.125,0.7226600050926208,71.95938262939453,53.12460784912109,20.95084419250488
47,3.375,1.125,0.7507699728012085,72.56343124389649,54.07499771118164,20.74523181915283
48,3.825,1.125,0.7729699611663818,72.27872238159179,53.68422431945801,20.746968841552736
49,4.275,1.125,0.7917199730873108,72.40356216430663,53.758867263793945,20.80141925811768
50,4.725,1.125,0.8086099624633789,71.5036557006836,52.36127586364746,21.01531829833984
51,5.175,1.125,0.822689950466156,71.99614181518555,52.77961616516113,21.0001522064209
52,5.625,1.125,0.8337699770927429,72.4074560546875,53.377862548828126,21.287459945678712
53,6.075,1.125,0.8444699645042419,72.30460830688476,53.46828498840332,20.860142517089844
54,6.525,1.125,0.8540199995040894,72.06567077636718,52.58544769287109,21.344593048095703
55,6.975,1.125,0.861549973487854,72.17148956298828,53.300489807128905,20.807275772094727
56,7.425,1.125,0.869439959526062,72.54394729614258,53.46749267578125,21.004950523376465
57,7.875,1.125,0.8757699728012085,72.68238204956054,53.72693862915039,21.046122550964355
58,8.325,1.125,0.8814799785614014,72.00686126708985,52.7079345703125,21.16229038238525
59,8.775,1.125,0.8866299986839294,72.0605859375,52.99116859436035,20.95363521575928
60,0.225,1.575,0.1993999928236007,68.78254440307617,53.5991886138916,21.07017517089844
61,0.675,1.575,0.3186799883842468,70.08604293823242,52.83857383728027,21.43153648376465
62,1.125,1.575,0.4210799932479858,71.11183090209961,53.32501792907715,21.082709503173827
63,1.575,1.575,0.5008900165557861,71.91394302368164,54.19301147460938,20.990148735046382
64,2.025,1.575,0.5628699660301208,72.16031158447265,54.222307968139646,20.854566383361817
65,2.475,1.575,0.6122699975967407,72.52606521606445,54.39284744262695,20.983598709106445
66,2.925,1.575,0.651449978351593,72.8815379333496,54.90438346862793,20.612679862976076
67,3.375,1.575,0.6833499670028687,73.22061157226562,54.97769203186035,20.909701538085937
68,3.825,1.575,0.7082799673080444,72.55423736572266,54.10362548828125,20.97117958068848
69,4.275,1.575,0.7313899993896484,73.50776718139649,54.96255378723144,21.234488868713377
70,4.725,1.575,0.7505799531936646,72.51578262329102,54.08464660644531,20.643733978271484
71,5.175,1.575,0.7673299908638,72.5003108215332,53.7087947845459,20.826743125915527
72,5.625,1.575,0.7823500037193298,72.3035285949707,53.668087768554685,20.8491735458374
73,6.075,1.575,0.7955299615859985,72.64798599243164,53.86191139221192,20.866468811035155
74,6.525,1.575,0.8065999746322632,72.82431777954102,54.76710281372071,20.754954528808597
75,6.975,1.575,0.8163399696350098,73.10611129760743,54.46269989013672,20.63093376159668
76,7.425,1.575,0.8255999684333801,72.59078506469727,53.70502700805664,20.932573127746583
77,7.875,1.575,0.8339799642562866,72.3442854309082,53.48046531677246,20.762395286560057
78,8.325,1.575,0.8411799669265747,72.73932144165039,54.12893829345703,20.673348045349123
79,8.775,1.575,0.8483699560165405,72.27940399169921,53.13915901184082,20.97668800354004
80,0.225,2.025,0.1655399948358535,68.71195281982422,53.59501991271973,21.162951850891112
81,0.675,2.025,0.2680599987506866,70.08455749511718,53.85615692138672,21.09090938568115
82,1.125,2.025,0.3623799979686737,71.43326095581055,54.18482551574707,21.18826847076416
83,1.575,2.025,0.4386399984359741,71.99610946655274,53.981513595581056,21.2611572265625
84,2.025,2.025,0.500499963760376,71.69869857788086,53.34887924194336,21.19624614715576
85,2.475,2.025,0.5498899817466736,72.45440948486328,54.40078849792481,21.269287490844725
86,2.925,2.025,0.5912799835205078,73.05416610717774,54.638947296142575,21.197743034362794
